percaya.x1;percaya.x2;percaya.x3;percaya.x4;minat.x5;minat.x6;minat.x7;minat.x8;kuali.x9;kuali.x10;kuali.x11;kuali.x12;aman.x13;aman.x14;aman.x15;aman.x16;putus.x17;putus.x18;putus.x19;putus.x20
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2
2;3;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2
1;2;2;1;2;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2
2;3;2;2;3;2;2;2;2;2;2;3;2;2;2;1;2;1;2;2
2;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;2;2;1;1
1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2
1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;3;2;2;1;2
2;1;2;2;1;2;2;2;1;3;2;1;1;1;2;3;1;2;2;2
2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2
2;2;1;2;2;2;1;2;2;3;2;2;2;2;2;2;2;2;1;2
1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;2;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;2;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
1;2;1;1;2;1;1;1;1;3;1;2;1;1;1;1;1;2;1;1
2;1;2;1;1;2;2;1;2;3;1;1;1;1;1;1;1;2;1;1
1;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;1;1;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2
2;1;2;1;1;2;2;1;2;2;1;1;2;2;2;1;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2
2;1;1;2;1;2;1;2;1;1;2;1;1;1;2;1;1;2;2;2
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;1;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2
1;2;2;2;2;1;2;2;1;1;2;2;1;1;2;2;1;2;2;2
2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;3;2;2;2;1;1;1;1;1;2;2;1
2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2
1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;1
2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;3;2;2;2;3;2;2;3;2;2;2;2;2;3;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2
2;2;1;2;2;2;1;2;2;3;2;2;2;2;2;1;2;2;2;2
